"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.167712603E2,6.504268732E1,2.546198241E1,1.363318643E1,1.014410127E0,2.866650632E2,4.106367355E0,4.699598940E0
2.177712508E2,6.504268678E1,2.546194575E1,1.368675449E1,1.223175338E0,2.792726574E2,4.098248584E0,4.390057507E0
2.187712461E2,6.504268877E1,2.546191759E1,1.390291737E1,1.177369596E0,2.795686209E2,4.098400059E0,4.312341004E0
2.197712413E2,6.504268996E1,2.546188933E1,1.396799470E1,1.165266731E0,2.796236751E2,4.061507472E0,4.436067555E0
2.207712368E2,6.504268790E1,2.546185806E1,1.416002470E1,1.095244460E0,2.709987272E2,4.095067143E0,4.443470335E0
2.217712321E2,6.504269063E1,2.546183024E1,1.458396610E1,1.034560859E0,2.763579311E2,4.148493724E0,4.493092449E0
2.227712317E2,6.504269106E1,2.546180880E1,1.428378050E1,7.858149567E-1,2.710739107E2,4.181680097E0,4.596633184E0
2.237712251E2,6.504268964E1,2.546180516E1,1.306708248E1,3.863787381E-1,2.604189668E2,4.205168589E0,4.805712358E0
2.247712194E2,6.504268327E1,2.546178709E1,1.194653492E1,7.566293901E-1,2.433818432E2,4.098805257E0,4.923260857E0
2.257712146E2,6.504268226E1,2.546176020E1,1.241701674E1,8.546786647E-1,2.500079098E2,4.067755478E0,4.845827138E0
2.267712104E2,6.504268537E1,2.546170797E1,1.332876312E1,1.557812717E0,2.662938552E2,4.088987145E0,4.863632146E0
2.277712084E2,6.504268836E1,2.546167122E1,1.359263089E1,1.739252232E0,2.706715441E2,4.012844271E0,5.223073692E0
2.287712013E2,6.504268971E1,2.546164012E1,1.391939310E1,1.676802834E0,2.717962226E2,3.921927406E0,5.090193814E0
2.297711970E2,6.504268975E1,2.546160293E1,1.425789128E1,1.703312750E0,2.721476394E2,3.949610459E0,5.136020673E0
2.307711955E2,6.504268952E1,2.546157430E1,1.430475027E1,1.645717618E0,2.694608285E2,4.011645755E0,5.038930695E0
2.317711920E2,6.504269137E1,2.546154295E1,1.434359081E1,1.694138288E0,2.722619273E2,4.088196367E0,5.126855005E0
2.327711835E2,6.504269313E1,2.546151405E1,1.416193962E1,1.652611457E0,2.747628388E2,4.080493167E0,5.297379446E0
2.337711792E2,6.504268987E1,2.546147822E1,1.496536150E1,1.695788908E0,2.678740530E2,3.984114958E0,5.233275467E0
2.347711748E2,6.504268922E1,2.546144926E1,1.528730695E1,1.344572428E0,2.682537611E2,3.909027268E0,5.011719125E0
2.357711701E2,6.504268930E1,2.546141972E1,1.503130934E1,1.323194624E0,2.694488416E2,3.824903074E0,4.932014596E0
2.367711662E2,6.504269222E1,2.546139496E1,1.466716913E1,1.154231073E0,2.761798431E2,3.795562189E0,4.497986100E0
2.377711611E2,6.504269158E1,2.546137049E1,1.410706636E1,1.051926360E0,2.739347888E2,3.752591958E0,4.281097804E0
2.387711571E2,6.504269295E1,2.546134322E1,1.439002451E1,1.125927393E0,2.759384129E2,3.781154105E0,4.251623187E0
2.397711530E2,6.504269329E1,2.546130736E1,1.453854554E1,1.356420797E0,2.736619401E2,3.721106135E0,4.097543011E0
2.407711526E2,6.504269366E1,2.546127633E1,1.438160378E1,1.345202656E0,2.737019596E2,3.691856959E0,4.276745948E0
2.417711440E2,6.504269478E1,2.546124032E1,1.437625304E1,1.463908730E0,2.739658452E2,3.687589166E0,4.209543276E0
2.427711396E2,6.504269590E1,2.546121007E1,1.430996975E1,1.376315969E0,2.751312089E2,3.646490399E0,4.433924939E0
2.437711356E2,6.504269602E1,2.546117858E1,1.423476775E1,1.356860899E0,2.746090712E2,3.616465494E0,4.191401461E0
2.447711310E2,6.504269483E1,2.546115017E1,1.427039385E1,1.307494437E0,2.717682529E2,3.585699765E0,4.116056342E0
2.457711285E2,6.504269339E1,2.546111443E1,1.462372266E1,1.419107374E0,2.691280386E2,3.516498426E0,4.027633746E0
2.467711219E2,6.504269424E1,2.546108059E1,1.480406693E1,1.405790927E0,2.714182866E2,3.540150800E0,4.232900102E0
2.477711182E2,6.504269480E1,2.546105105E1,1.474323235E1,1.322080774E0,2.733331255E2,3.493695980E0,3.930890553E0
2.487711135E2,6.504269642E1,2.546102132E1,1.466128673E1,1.299971250E0,2.756776940E2,3.455183343E0,4.037971212E0
2.497711090E2,6.504269660E1,2.546099072E1,1.462840821E1,1.314684120E0,2.738602744E2,3.423611193E0,3.931371664E0
2.507711046E2,6.504269621E1,2.546095099E1,1.491641441E1,1.492953353E0,2.720355062E2,3.471694931E0,4.045120743E0
2.517711002E2,6.504269659E1,2.546091808E1,1.505314778E1,1.428576398E0,2.721432112E2,3.453453479E0,4.141661395E0
2.527710958E2,6.504269793E1,2.546088223E1,1.521881745E1,1.446118181E0,2.740364768E2,3.454536425E0,4.123132773E0
2.537710923E2,6.504269862E1,2.546084860E1,1.523092122E1,1.450778962E0,2.727395759E2,3.438530897E0,4.094572436E0
2.547710880E2,6.504269899E1,2.546081384E1,1.527531925E1,1.422882371E0,2.718061484E2,3.380148630E0,4.074426223E0
2.557710829E2,6.504269919E1,2.546078012E1,1.523743156E1,1.478265076E0,2.717594391E2,3.321718965E0,3.812436975E0
2.567710822E2,6.504269990E1,2.546074903E1,1.499939629E1,1.402083754E0,2.726089976E2,3.283116937E0,3.934810773E0
2.577710766E2,6.504270025E1,2.546071777E1,1.482513600E1,1.359016593E0,2.734053225E2,3.241506653E0,3.737430213E0
2.587710705E2,6.504270008E1,2.546068567E1,1.466054689E1,1.406817699E0,2.712819468E2,3.219523326E0,3.675918278E0
2.597716910E2,6.504270134E1,2.546065997E1,1.460887800E1,1.263087669E0,2.744604084E2,3.220719671E0,3.669044430E0
2.607716948E2,6.504269899E1,2.546063520E1,1.435463213E1,1.167359294E0,2.691642838E2,3.171160125E0,3.709025430E0
2.617716901E2,6.504270293E1,2.546061435E1,1.413606811E1,1.083526748E0,2.787064972E2,3.161274938E0,3.740811122E0
2.627716894E2,6.504270196E1,2.546059477E1,1.424497046E1,9.060889754E-1,2.724146600E2,3.169450408E0,3.513882438E0
2.637716900E2,6.504270195E1,2.546057483E1,1.432665830E1,9.182358017E-1,2.704171955E2,3.157023233E0,3.436624094E0
2.647716850E2,6.504270211E1,2.546055615E1,1.439284013E1,9.044543986E-1,2.690930470E2,3.162289481E0,3.437374027E0
2.657716846E2,6.504270179E1,2.546053816E1,1.413064620E1,8.832135626E-1,2.664921112E2,3.201362455E0,3.815532821E0
2.667716808E2,6.504270145E1,2.546051626E1,1.401200972E1,9.456826869E-1,2.673694226E2,3.255488777E0,3.942672310E0
2.677716714E2,6.504270105E1,2.546049541E1,1.406692733E1,9.605156002E-1,2.674214807E2,3.225005936E0,3.530200334E0
2.687716697E2,6.504269985E1,2.546046730E1,1.406797921E1,1.140221799E0,2.653256632E2,3.239300746E0,3.755169560E0
2.697716681E2,6.504269596E1,2.546044268E1,1.395236360E1,1.141492737E0,2.577198636E2,3.302184352E0,3.767203631E0
2.707716591E2,6.504269318E1,2.546042286E1,1.395017129E1,1.004022033E0,2.546415723E2,3.253630441E0,3.873578093E0
2.717716571E2,6.504269239E1,2.546040366E1,1.393353183E1,9.083489210E-1,2.578674262E2,3.222389106E0,3.499175763E0
2.727716548E2,6.504268867E1,2.546038128E1,1.387914726E1,1.031716213E0,2.522434416E2,3.161269651E0,3.375291857E0
2.737716482E2,6.504268341E1,2.546036359E1,1.367535760E1,1.060670995E0,2.444859793E2,3.103206175E0,3.734402879E0
2.747716404E2,6.504267408E1,2.546034330E1,1.377572668E1,1.197301601E0,2.326568727E2,3.048045888E0,3.684479814E0
2.757716266E2,6.504266461E1,2.546033247E1,1.354289599E1,1.140235771E0,2.225260238E2,3.038913833E0,3.678154631E0
2.767716196E2,6.504265519E1,2.546032361E1,1.342563320E1,1.149270988E0,2.150297096E2,2.986968139E0,3.665854948E0
2.777716058E2,6.504264344E1,2.546031490E1,1.367981120E1,1.233144628E0,2.083750851E2,2.987049299E0,3.748107024E0
2.787715962E2,6.504263309E1,2.546031390E1,1.349996567E1,1.179040768E0,1.972129409E2,2.937696833E0,3.470210187E0
2.797715915E2,6.504262408E1,2.546031503E1,1.333603379E1,1.065294426E0,1.896248630E2,2.890811984E0,3.385532762E0
2.807715778E2,6.504261465E1,2.546031373E1,1.324447168E1,1.049818702E0,1.866522121E2,2.846271377E0,3.552163693E0
2.817715689E2,6.504260213E1,2.546031133E1,1.333645882E1,1.204273048E0,1.851941547E2,2.803957820E0,3.624355990E0
2.827715605E2,6.504258859E1,2.546031410E1,1.326560894E1,1.352898878E0,1.806062614E2,2.763759924E0,3.562697077E0
2.837715524E2,6.504257429E1,2.546031909E1,1.328081184E1,1.456694201E0,1.760687152E2,2.736074396E0,3.216004026E0
2.847715439E2,6.504256067E1,2.546032289E1,1.346464462E1,1.472132075E0,1.741478456E2,2.699270671E0,3.596738831E0
2.857715364E2,6.504254693E1,2.546032432E1,1.354578613E1,1.483155194E0,1.755530460E2,2.664307130E0,3.654196839E0
2.867715278E2,6.504253368E1,2.546032590E1,1.360170319E1,1.481089389E0,1.763374305E2,2.631091766E0,3.664148933E0
2.877715224E2,6.504252030E1,2.546032856E1,1.379380637E1,1.475939538E0,1.765866266E2,2.603575013E0,3.595708001E0
2.887715135E2,6.504250640E1,2.546032743E1,1.389114317E1,1.506632925E0,1.797857471E2,2.573396275E0,3.530338629E0
2.897715063E2,6.504249372E1,2.546032845E1,1.378157776E1,1.492822204E0,1.795760493E2,2.544726463E0,3.468540907E0
2.907714993E2,6.504248066E1,2.546032617E1,1.382346814E1,1.490119902E0,1.821039651E2,2.528994295E0,3.475028259E0
2.917714959E2,6.504246768E1,2.546032451E1,1.419400381E1,1.476483843E0,1.823570620E2,2.502544582E0,3.387139033E0
2.927714857E2,6.504245555E1,2.546032472E1,1.441334157E1,1.473152401E0,1.826771748E2,2.477417350E0,3.357532953E0
2.937714812E2,6.504244624E1,2.546032216E1,1.493804392E1,1.335817476E0,1.862454095E2,2.473717182E0,3.298379824E0
2.947714727E2,6.504243789E1,2.546031771E1,1.509229271E1,1.142863850E0,1.901745593E2,2.450031323E0,3.271072149E0
2.957714651E2,6.504243166E1,2.546031747E1,1.501319063E1,8.878969577E-1,1.881416502E2,2.452678863E0,3.019091873E0
2.967714587E2,6.504242546E1,2.546031543E1,1.475308712E1,7.856122333E-1,1.889650482E2,2.430044913E0,3.193189888E0
2.977714522E2,6.504241513E1,2.546031031E1,1.490206740E1,9.656709053E-1,1.914869936E2,2.408542666E0,3.090418347E0
2.987714491E2,6.504240544E1,2.546030220E1,1.490036527E1,1.042743242E0,1.960433730E2,2.388115528E0,3.000000000E0
2.997714404E2,6.504239759E1,2.546029429E1,1.500028549E1,9.698877179E-1,1.992064860E2,2.368709756E0,3.000000000E0
3.007714335E2,6.504239506E1,2.546029271E1,1.530522935E1,5.602334285E-1,1.988909607E2,2.374278379E0,3.147023382E0
3.017714312E2,6.504239367E1,2.546029257E1,1.525965790E1,3.192993532E-1,1.954664048E2,2.396909238E0,3.000000000E0
3.027714224E2,6.504239291E1,2.546029718E1,1.525788645E1,1.637927949E-1,1.954664092E2,2.389088716E0,3.000000000E0
3.037714199E2,6.504238686E1,2.546029386E1,1.526794705E1,4.773218735E-1,1.954664063E2,2.369634275E0,3.000000000E0
3.047714096E2,6.504238061E1,2.546029158E1,1.552114411E1,6.733691669E-1,1.867347827E2,2.443586983E0,3.000000000E0
3.057714037E2,6.504237863E1,2.546029372E1,1.506814788E1,4.845287100E-1,1.803476353E2,2.527433530E0,3.000000000E0
3.067713991E2,6.504237828E1,2.546029709E1,1.468716223E1,3.331046047E-1,1.739414592E2,2.501061859E0,3.000000000E0
3.077713932E2,6.504237616E1,2.546029900E1,1.423299050E1,3.906042455E-1,1.739414607E2,2.490018370E0,3.000000000E0
3.087713883E2,6.504236811E1,2.546030346E1,1.399472207E1,6.619893734E-1,1.678372398E2,2.491339697E0,3.000000000E0
3.097713827E2,6.504236395E1,2.546030741E1,1.368693661E1,6.326678708E-1,1.641895445E2,2.480159000E0,3.000000000E0
3.107713785E2,6.504235179E1,2.546031980E1,1.369555557E1,1.047289333E0,1.616342405E2,2.471527428E0,3.000000000E0
3.117713712E2,6.504233903E1,2.546032831E1,1.395941595E1,1.237479938E0,1.630916182E2,2.447951049E0,3.000000000E0
3.127713648E2,6.504232663E1,2.546033388E1,1.399451797E1,1.361494807E0,1.651846111E2,2.446002000E0,3.054216431E0
3.137713591E2,6.504231668E1,2.546033716E1,1.403983147E1,1.197816966E0,1.681136426E2,2.423701897E0,3.000000000E0
3.147713572E2,6.504230493E1,2.546034427E1,1.400274758E1,1.239032395E0,1.667743084E2,2.402516801E0,3.000000000E0
3.157713521E2,6.504229518E1,2.546034779E1,1.393123543E1,1.199385626E0,1.675243174E2,2.382390945E0,3.000000000E0
3.167713431E2,6.504228400E1,2.546035156E1,1.399927497E1,1.200867043E0,1.693849561E2,2.363271401E0,3.000000000E0
3.177713379E2,6.504227283E1,2.546035780E1,1.421102739E1,1.194505312E0,1.677077753E2,2.348007402E0,3.000000000E0
3.187713327E2,6.504226480E1,2.546036130E1,1.429772324E1,9.853236897E-1,1.688629839E2,2.331071703E0,3.000000000E0
3.197713269E2,6.504225735E1,2.546036755E1,1.420379077E1,9.339977601E-1,1.663459148E2,2.333338478E0,3.000000000E0
3.207713223E2,6.504224443E1,2.546037424E1,1.426115338E1,1.123479669E0,1.669856492E2,2.372043049E0,3.000000000E0
3.217713195E2,6.504223225E1,2.546037952E1,1.433398416E1,1.209929276E0,1.687759145E2,2.363831186E0,3.000000000E0
3.227713119E2,6.504222063E1,2.546038513E1,1.426682565E1,1.214606241E0,1.695847135E2,2.359529487E0,3.000000000E0
3.237713060E2,6.504220916E1,2.546038470E1,1.401759563E1,1.224906170E0,1.752213852E2,2.357905919E0,3.000000000E0
3.247713006E2,6.504219586E1,2.546038889E1,1.405359392E1,1.386213160E0,1.748358852E2,2.370750521E0,3.000000000E0
3.257712967E2,6.504218280E1,2.546039342E1,1.418275925E1,1.392322428E0,1.743261129E2,2.352213000E0,3.000000000E0
3.267712910E2,6.504217223E1,2.546039872E1,1.403047908E1,1.282478255E0,1.723899682E2,2.359854896E0,3.000000000E0
3.277712854E2,6.504215930E1,2.546040703E1,1.434458989E1,1.285301553E0,1.697840294E2,2.341862147E0,3.000000000E0
3.287712804E2,6.504215035E1,2.546041306E1,1.427921075E1,1.120268239E0,1.687579503E2,2.325165245E0,3.000000000E0
3.297712753E2,6.504213496E1,2.546041587E1,1.443360554E1,1.292948248E0,1.739436617E2,2.308906974E0,3.000000000E0
3.307712698E2,6.504212435E1,2.546041708E1,1.464063856E1,1.189903030E0,1.761657541E2,2.293461641E0,3.000000000E0
3.317712702E2,6.504211489E1,2.546041732E1,1.421039839E1,1.145127839E0,1.748518828E2,2.313099364E0,3.000000000E0
3.327712598E2,6.504210667E1,2.546041812E1,1.368304957E1,1.029426831E0,1.778492740E2,2.378484690E0,3.000000000E0
3.337712575E2,6.504209321E1,2.546041663E1,1.396988202E1,1.146973604E0,1.832491471E2,2.401566900E0,3.000000000E0
3.347712536E2,6.504208213E1,2.546041649E1,1.426085231E1,1.131658856E0,1.826255150E2,2.405172606E0,3.000000000E0
3.357712443E2,6.504207123E1,2.546042070E1,1.420192697E1,1.070638380E0,1.782835360E2,2.411010241E0,3.000000000E0
3.367712396E2,6.504205968E1,2.546042290E1,1.427395621E1,1.163194510E0,1.775602092E2,2.395694049E0,3.000000000E0
3.377712344E2,6.504204892E1,2.546042356E1,1.438397445E1,1.178218406E0,1.779788511E2,2.393361256E0,3.016728576E0
3.387712294E2,6.504204038E1,2.546041874E1,1.453285947E1,1.039141174E0,1.809467909E2,2.410874437E0,3.099871204E0
3.397712257E2,6.504202725E1,2.546041743E1,1.456925787E1,1.169816744E0,1.827907505E2,2.390330704E0,3.078611444E0
3.407712190E2,6.504201376E1,2.546041596E1,1.447522478E1,1.322606924E0,1.828373074E2,2.370814169E0,3.008183405E0
3.417712135E2,6.504199912E1,2.546041691E1,1.459318063E1,1.404714896E0,1.816659053E2,2.352273454E0,3.070153556E0
3.427712091E2,6.504198408E1,2.546041492E1,1.484375978E1,1.513515483E0,1.820184462E2,2.334659780E0,3.014055211E0
3.437712045E2,6.504196810E1,2.546041326E1,1.480202441E1,1.661610987E0,1.831750743E2,2.345680223E0,3.162394449E0
3.447712021E2,6.504195708E1,2.546041121E1,1.427531665E1,1.659888324E0,1.824844983E2,2.374931126E0,3.256609656E0
3.457711931E2,6.504194168E1,2.546042051E1,1.474939864E1,1.646897440E0,1.775471133E2,2.356184564E0,3.246897057E0
3.467711934E2,6.504192755E1,2.546042670E1,1.489190460E1,1.651176192E0,1.751403050E2,2.375356223E0,3.331635569E0
3.477711830E2,6.504191403E1,2.546043078E1,1.491625116E1,1.621565199E0,1.744335636E2,2.356588401E0,3.310930501E0
3.487711791E2,6.504190101E1,2.546043337E1,1.509804510E1,1.642102394E0,1.745384797E2,2.343015514E0,3.326873748E0
3.497711740E2,6.504188865E1,2.546042955E1,1.538096914E1,1.626581849E0,1.791832583E2,2.325864746E0,3.318852763E0
3.507711682E2,6.504187711E1,2.546042428E1,1.527340561E1,1.616291112E0,1.831167876E2,2.315152920E0,3.337501525E0
3.517711631E2,6.504186547E1,2.546041921E1,1.504674960E1,1.587827590E0,1.848245652E2,2.326344720E0,3.398531255E0
3.527711583E2,6.504185437E1,2.546041729E1,1.484137858E1,1.574795366E0,1.842621164E2,2.371714180E0,3.464260110E0
3.537711531E2,6.504184218E1,2.546041693E1,1.489889092E1,1.631172032E0,1.818721264E2,2.364670535E0,3.486296374E0
3.547711499E2,6.504182956E1,2.546041937E1,1.509843242E1,1.665521773E0,1.784009814E2,2.351893668E0,3.530334820E0
3.557711437E2,6.504181732E1,2.546041940E1,1.578835478E1,1.624990992E0,1.789686717E2,2.359064737E0,3.516364526E0
3.567711388E2,6.504180379E1,2.546042192E1,1.568580225E1,1.667349370E0,1.781408567E2,2.341111499E0,3.452516951E0
3.577711331E2,6.504178973E1,2.546042175E1,1.553753366E1,1.682050257E0,1.801548888E2,2.342782003E0,3.455627805E0
3.587711285E2,6.504177589E1,2.546042258E1,1.540656539E1,1.683303017E0,1.792286975E2,2.325642892E0,3.419370858E0
3.597711257E2,6.504176247E1,2.546042549E1,1.558517821E1,1.671147363E0,1.783978587E2,2.309360744E0,3.397760553E0
3.607711190E2,6.504174889E1,2.546042706E1,1.560153590E1,1.646506381E0,1.790282240E2,2.293892708E0,3.361988235E0
3.617711142E2,6.504173611E1,2.546042538E1,1.512312870E1,1.602625045E0,1.821204881E2,2.287683557E0,3.328284846E0
3.627711080E2,6.504172353E1,2.546042268E1,1.525945835E1,1.638689369E0,1.849477027E2,2.273299381E0,3.340533528E0
3.637711039E2,6.504171087E1,2.546041716E1,1.529733391E1,1.640992989E0,1.876533067E2,2.259634406E0,3.262944475E0
3.647711005E2,6.504169735E1,2.546041440E1,1.535465322E1,1.673860135E0,1.867317171E2,2.268177892E0,3.172902067E0
3.657710936E2,6.504168359E1,2.546042807E1,1.592905996E1,1.666464861E0,1.755789816E2,2.254769001E0,3.035420316E0
3.667710886E2,6.504166961E1,2.546042503E1,1.579168498E1,1.661958558E0,1.789488335E2,2.242030555E0,3.040071174E0
3.677710836E2,6.504165562E1,2.546042436E1,1.618140807E1,1.691016381E0,1.796898638E2,2.271274071E0,3.132617477E0
3.687710793E2,6.504164247E1,2.546042199E1,1.627508358E1,1.677065257E0,1.808997872E2,2.289295574E0,3.140282336E0
3.697710742E2,6.504162921E1,2.546041845E1,1.619637252E1,1.671018168E0,1.845206813E2,2.276390122E0,3.125515946E0
3.707710687E2,6.504161784E1,2.546041910E1,1.641878366E1,1.648045455E0,1.829141924E2,2.262570611E0,3.171341883E0
3.717710644E2,6.504160812E1,2.546042778E1,1.676304317E1,1.616840070E0,1.748756640E2,2.273213015E0,3.219800930E0
3.727710589E2,6.504159930E1,2.546043565E1,1.707755039E1,1.577003139E0,1.712944685E2,2.304025805E0,3.201083758E0
3.737710538E2,6.504158768E1,2.546043861E1,1.710119020E1,1.641300949E0,1.756700896E2,2.331343616E0,3.264294430E0
3.747710481E2,6.504157590E1,2.546043707E1,1.737336206E1,1.642844337E0,1.817540551E2,2.328629327E0,3.292531276E0
3.757710432E2,6.504156437E1,2.546043646E1,1.721932481E1,1.658966135E0,1.834491442E2,2.312197853E0,3.271968493E0
3.767710389E2,6.504155316E1,2.546043607E1,1.727315653E1,1.666558892E0,1.827097870E2,2.347800584E0,3.334304394E0
3.777710339E2,6.504154116E1,2.546043461E1,1.732458157E1,1.677098482E0,1.828668947E2,2.365312867E0,3.333206411E0
3.787710284E2,6.504152902E1,2.546043320E1,1.771258984E1,1.654230743E0,1.829277640E2,2.357319631E0,3.244655807E0
3.797710245E2,6.504151583E1,2.546044145E1,1.785687281E1,1.688851880E0,1.760777366E2,2.370064471E0,3.285928240E0
3.807710191E2,6.504150463E1,2.546043241E1,1.763169312E1,1.655316254E0,1.835220408E2,2.369099336E0,3.388205307E0
3.817710142E2,6.504149267E1,2.546043448E1,1.797349661E1,1.635705642E0,1.827125733E2,2.398663248E0,3.382336853E0
3.827710088E2,6.504148027E1,2.546043618E1,1.784841008E1,1.678483654E0,1.802404464E2,2.430734661E0,3.402386732E0
3.837710042E2,6.504146847E1,2.546044633E1,1.797339993E1,1.648830447E0,1.723740215E2,2.476033239E0,3.364842956E0
3.847710013E2,6.504146001E1,2.546045042E1,1.741302787E1,1.633985811E0,1.693930538E2,2.475331386E0,3.262427341E0
3.857716177E2,6.504145634E1,2.546045483E1,1.681263558E1,1.527589221E0,1.644048070E2,2.501194840E0,3.286227409E0
3.867716163E2,6.504145443E1,2.546046258E1,1.638185846E1,1.469802061E0,1.583117043E2,2.489244319E0,3.278834666E0
3.877716126E2,6.504145880E1,2.546046853E1,1.546038460E1,9.717761032E-1,1.458270318E2,2.527135195E0,3.286178141E0
3.887716107E2,6.504147796E1,2.546045049E1,1.556728280E1,6.525246342E-1,3.459164604E2,2.541219845E0,3.052057359E0
3.897716117E2,6.504147818E1,2.546044639E1,1.547897345E1,1.333843299E-1,3.375918692E2,2.537339541E0,3.012237056E0
3.907716031E2,6.504147528E1,2.546045082E1,1.550755755E1,2.065578036E-2,3.375918730E2,2.553590620E0,3.000000000E0
3.917716092E2,6.504147174E1,2.546045155E1,1.550382513E1,4.276294769E-2,3.375918740E2,2.575111863E0,3.000000000E0
3.927716097E2,6.504147118E1,2.546045763E1,1.533138443E1,1.593609694E-2,3.375918789E2,2.617544413E0,3.000000000E0
3.937716073E2,6.504146889E1,2.546045724E1,1.538547541E1,1.959927373E-2,3.375918788E2,2.620336771E0,3.000000000E0
3.947716011E2,6.504146846E1,2.546045655E1,1.539670832E1,5.424932285E-2,3.375918783E2,2.650692396E0,3.000000000E0
3.957716010E2,6.504146899E1,2.546045471E1,1.542163976E1,2.757759387E-2,3.375918768E2,2.634201115E0,3.000000000E0
3.967715942E2,6.504146884E1,2.546045459E1,1.547178615E1,3.275046480E-2,3.375918767E2,2.742697149E0,3.000000000E0
3.977715898E2,6.504146744E1,2.546045473E1,1.538388411E1,2.307199415E-2,3.375918770E2,2.815652106E0,3.000000000E0
3.987715874E2,6.504146529E1,2.546045364E1,1.544355277E1,4.283696133E-2,3.375918764E2,2.848725540E0,3.000000000E0
3.997715778E2,6.504146005E1,2.546045214E1,1.552151618E1,9.343132505E-2,3.375918757E2,2.829857484E0,3.000000000E0
4.007715707E2,6.504146336E1,2.546043846E1,1.549519229E1,4.280224959E-1,3.375918645E2,2.788364608E0,3.000000000E0
4.017715631E2,6.504146029E1,2.546043532E1,1.573578943E1,1.046596180E-1,3.375918624E2,2.771456879E0,3.000000000E0
4.027715594E2,6.504145528E1,2.546043899E1,1.585517709E1,6.857961216E-2,3.375918659E2,2.811057524E0,3.004347026E0
4.037715496E2,6.504144866E1,2.546043679E1,1.582558906E1,8.472407993E-2,3.375918649E2,2.795375005E0,3.000000000E0
4.047715470E2,6.504143909E1,2.546044209E1,1.616638405E1,9.282456667E-2,3.375918701E2,2.755606254E0,3.000000000E0
4.057715391E2,6.504143260E1,2.546043765E1,1.614335221E1,6.750816018E-2,3.375918673E2,2.755835772E0,3.000000000E0
4.067715322E2,6.504142417E1,2.546043784E1,1.628582408E1,8.252711322E-2,3.375918684E2,2.718043983E0,3.000000000E0
4.077715232E2,6.504141697E1,2.546043614E1,1.629172733E1,7.538968089E-2,3.375918679E2,2.749488673E0,3.000000000E0
4.087715168E2,6.504140715E1,2.546043404E1,1.593655829E1,1.026899257E-1,3.375918673E2,2.800384180E0,3.000000000E0
4.097715111E2,6.504139795E1,2.546042970E1,1.589583089E1,1.242925219E-1,3.375918649E2,2.804127268E0,3.000000000E0
4.107715046E2,6.504138913E1,2.546042750E1,1.568911218E1,8.701399128E-2,3.375918641E2,2.791096359E0,3.000000000E0
4.117714982E2,6.504137691E1,2.546042832E1,1.578796551E1,1.005868089E-1,3.375918661E2,2.773022321E0,3.000000000E0
4.127714915E2,6.504136622E1,2.546043175E1,1.582889774E1,1.900060858E-1,3.375918700E2,2.781742878E0,3.000000000E0
4.137714859E2,6.504135315E1,2.546043687E1,1.584283247E1,9.653338677E-2,3.375918756E2,2.766570791E0,3.000000000E0
4.147714797E2,6.504134579E1,2.546044155E1,1.564186965E1,5.113838816E-2,3.375918801E2,2.728242251E0,3.000000000E0
4.157714734E2,6.504133717E1,2.546045491E1,1.583850507E1,1.476936827E-1,3.375918916E2,2.691830140E0,3.000000000E0
4.167714682E2,6.504132823E1,2.546047159E1,1.617505653E1,1.122119043E-1,3.375919059E2,2.657238633E0,3.000000000E0
4.177714620E2,6.504131910E1,2.546049574E1,1.614398738E1,1.360701521E-1,3.375919260E2,2.625432663E0,3.000000000E0
4.187714558E2,6.504131551E1,2.546051842E1,1.622904122E1,1.532490841E-1,3.375919444E2,2.594161032E0,3.000000000E0
4.197714503E2,6.504131201E1,2.546054717E1,1.633889931E1,1.687276552E-1,3.375919676E2,2.564452981E0,3.000000000E0
4.207714447E2,6.504130841E1,2.546057808E1,1.624123735E1,1.745798270E-1,3.375919925E2,2.544360827E0,3.000000000E0
4.217714386E2,6.504130643E1,2.546060036E1,1.634788478E1,1.638199337E-1,3.375920103E2,2.558877672E0,3.000000000E0
4.227714323E2,6.504130642E1,2.546063352E1,1.646569957E1,2.297682149E-1,3.375920366E2,2.530933790E0,3.000000000E0
4.237714272E2,6.504130306E1,2.546066449E1,1.654283678E1,1.893212351E-1,3.375920615E2,2.536583624E0,3.000000000E0
4.247714216E2,6.504130001E1,2.546069778E1,1.668153291E1,1.700648509E-1,3.375920883E2,2.613082156E0,3.000000000E0
4.257714156E2,6.504129524E1,2.546072207E1,1.674553200E1,1.392216392E-1,3.375921081E2,2.582428047E0,3.000000000E0
4.267714100E2,6.504129331E1,2.546074594E1,1.666907369E1,1.458969709E-1,3.375921272E2,2.553306646E0,3.000000000E0
4.277714049E2,6.504129165E1,2.546077584E1,1.693089928E1,2.115760974E-1,3.375921511E2,2.525641314E0,3.000000000E0
4.287713991E2,6.504129447E1,2.546080572E1,1.719756783E1,3.735170361E-1,3.375921744E2,2.499359246E0,3.000000000E0
4.297713938E2,6.504129475E1,2.546084073E1,1.704271250E1,2.613875206E-1,3.375922022E2,2.507972957E0,3.000000000E0
4.307713875E2,6.504129141E1,2.546086332E1,1.688299549E1,1.639464050E-1,3.375922204E2,2.505928012E0,3.000000000E0
4.317713821E2,6.504129301E1,2.546091466E1,1.730703070E1,9.598051492E-1,7.249073754E1,2.486079112E0,3.000000000E0
