"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.548907916E-1,-1.356714830E-1,-5.739854926E-1,2.134204477E0
7.648547917E-1,2.059067756E-2,-2.042268705E-1,2.820744778E0
7.748177917E-1,2.961714131E-1,1.267442465E-1,3.026490755E0
7.847817916E-1,7.156986111E-1,-5.081756651E-2,2.771943331E0
7.947457917E-1,9.104772583E-1,-6.104563308E-1,2.362438846E0
8.047097917E-1,6.240569544E-1,-1.177194200E0,1.676842285E0
8.146737916E-1,-2.425454289E-2,-1.534704659E0,8.718999606E-1
8.246377916E-1,-3.499581957E-1,-1.619916133E0,2.582381862E-1
8.346017917E-1,-3.331725937E-1,-1.736473945E0,-2.638018119E-1
8.445657917E-1,-6.509915686E-1,-1.857038854E0,-9.925040460E-1
8.545297916E-1,-1.064707511E0,-1.429289301E0,-1.575867888E0
8.644937917E-1,-1.047702054E0,-8.272699177E-1,-1.771548468E0
8.744567917E-1,-8.574453512E-1,-4.460858363E-1,-1.704696082E0
8.844207916E-1,-6.030765599E-1,-6.102920240E-1,-1.284602873E0
8.943847916E-1,-2.755053064E-1,-9.985407114E-1,-6.698956168E-1
9.043487917E-1,6.823525250E-2,-1.297787175E0,-2.155581897E-1
9.143127917E-1,2.655659169E-1,-1.456572409E0,-2.015318888E-1
9.242767916E-1,2.742858696E-1,-1.474025763E0,-3.693762141E-1
9.342407917E-1,1.785950160E-1,-1.134234121E0,-3.274505085E-1
9.442047917E-1,3.276779652E-2,-6.245756024E-1,-7.694351077E-3
9.541687916E-1,-6.945498168E-2,-3.134440881E-1,4.151716071E-1
9.641327916E-1,-2.048738649E-1,-2.062710571E-1,6.217239153E-1
9.740967917E-1,-1.673169065E-1,-1.801790267E-1,5.240789223E-1
9.840597917E-1,7.998055458E-2,2.239074290E-2,3.139340848E-1
9.940237916E-1,4.436007696E-1,3.075191045E-1,2.782841957E-1
1.003987792E0,6.345354572E-1,5.289940917E-1,3.374936861E-1
1.013951792E0,7.329201230E-1,6.791429883E-1,7.770990533E-1
1.023915792E0,9.560291147E-1,7.720868200E-1,1.435038868E0
1.033879792E0,8.430913138E-1,3.548710263E-1,1.528460417E0
1.043843792E0,5.019343472E-1,-2.773275912E-2,1.163255607E0
1.053807792E0,2.014517820E-1,-1.849123478E-2,5.476180583E-1
1.063771792E0,5.969393224E-2,5.143058860E-1,-1.102083206E-2
1.073735792E0,2.390110794E-1,1.232680183E0,-2.222257698E-1
1.083698792E0,6.995304751E-1,1.637855975E0,-2.358503670E-1
1.093662792E0,8.710649782E-1,1.241253371E0,-3.722021735E-1
1.103626792E0,7.700122279E-1,1.573865801E-1,-3.952925357E-1
1.113590792E0,6.403917360E-1,-5.649860430E-1,-8.509102106E-2
1.123554792E0,4.640136918E-1,-3.544687378E-1,5.802557543E-1
1.133518792E0,4.480820757E-1,6.449332684E-1,1.196589414E0
1.143482792E0,7.784097067E-1,1.809418545E0,1.336835466E0
1.153446792E0,1.371601841E0,2.389545368E0,1.019166765E0
1.163410792E0,1.855264516E0,2.266381372E0,4.490661621E-1
1.173374792E0,2.056355233E0,1.436103646E0,-1.289661884E-1
1.183337792E0,1.884466388E0,3.291865468E-2,-4.502423295E-1
1.193301792E0,1.332941805E0,-6.433206064E-1,-3.826567027E-1
1.203265792E0,3.127547014E-1,-1.657293874E-1,-3.036266130E-1
1.213229792E0,-4.965280116E-1,7.211493856E-1,-3.156136975E-1
1.223193792E0,-5.174563658E-1,1.161510798E0,-3.811665398E-1
1.233157792E0,-1.205537993E-1,1.313440756E0,-3.031225830E-1
1.243121792E0,6.648091239E-1,1.485949405E0,5.997079790E-2
1.253085792E0,1.318924275E0,1.662751080E0,9.210183263E-2
1.263049792E0,1.219470153E0,1.420290436E0,-2.878615256E0
